rang;id;nom;adresse;lien;annotateur_1;etiquette_1;confiance_1;annotateur_2;etiquette_2;confiance_2;arbitrage;presse_locale;guide_touristique;remarque
1;osm_n8069680005;El Sur;35 Bd Saint-Germain, 75005 Paris;https://www.google.com/maps/search/El+Sur+35+Bd+Saint-Germain%2C+75005+Paris;;;;;;;;;;
2;osm_n5129121007;Yokorama;58 Rue Monsieur le Prince, 75006 Paris;https://www.google.com/maps/search/Yokorama+58+Rue+Monsieur+le+Prince%2C+75006+Paris;;;;;;;;;;
3;osm_n2939348010;Brava Pizza;38 Rue du Cardinal Lemoine, 75005 Paris;https://www.google.com/maps/search/Brava+Pizza+38+Rue+du+Cardinal+Lemoine%2C+75005+Paris;;;;;;;;;;
4;osm_n5129121010;Sushiyaki;50 Rue Monsieur le Prince, 75006 Paris;https://www.google.com/maps/search/Sushiyaki+50+Rue+Monsieur+le+Prince%2C+75006+Paris;;;;;;;;;;
5;osm_n5129121012;La Cava Voltini;;https://www.google.com/maps/search/La+Cava+Voltini;;;;;;;;;;
6;osm_n5298105016;India StreEAT;105 Rue Monge, 75005 Paris;https://www.google.com/maps/search/India+StreEAT+105+Rue+Monge%2C+75005+Paris;;;;;;;;;;
7;osm_n8630834017;Ya Bayté by Hébé;1 Rue des Grands Degrés, 75005 Paris;https://www.google.com/maps/search/Ya+Bayt%C3%A9+by+H%C3%A9b%C3%A9+1+Rue+des+Grands+Degr%C3%A9s%2C+75005+Paris;;;;;;;;;;
8;osm_n4793992024;Selva;22 Rue du Sommerard, 75005 Paris;https://www.google.com/maps/search/Selva+22+Rue+du+Sommerard%2C+75005+Paris;;;;;;;;;;
9;osm_n4447535029;La Ferrandaise;8 Rue de Vaugirard, 75006 Paris;https://www.google.com/maps/search/La+Ferrandaise+8+Rue+de+Vaugirard%2C+75006+Paris;;;;;;;;;;
10;osm_n913722029;Mexi & Co;10 Rue Dante, 75005 Paris;https://www.google.com/maps/search/Mexi+%26+Co+10+Rue+Dante%2C+75005+Paris;;;;;;;;;;
11;osm_n1778496031;Au Père Louis;38 Rue Monsieur le Prince, 75006 Paris;https://www.google.com/maps/search/Au+P%C3%A8re+Louis+38+Rue+Monsieur+le+Prince%2C+75006+Paris;;;;;;;;;;
12;osm_n323061031;Le Bluff;267 Rue St Jacques, 75005 Paris;https://www.google.com/maps/search/Le+Bluff+267+Rue+St+Jacques%2C+75005+Paris;;;;;;;;;;
13;osm_n7849213032;Bonvivant;7 Rue des Écoles;https://www.google.com/maps/search/Bonvivant+7+Rue+des+%C3%89coles;;;;;;;;;;
